Order ID,Order Date,Ship Date,Customer Name,Country,Category,Sales,Profit,Quantity,Discount
GS-1040,2025-12-21,2025-12-30,Bob  ,UK,Office Supplies,4660.68,-1031.66,0.0,0.0
GS-1041,2025-03-20,2025-03-22,Henry  ,UK,Furniture,2582.51,976.43,,0.2
GS-1042,2025-04-22,2025-04-25,Eve,USA,Furniture,59.25,-14.77,10.0,0.0
GS-1043,2025-04-06,2025-04-08,Alice,UK,Furniture,4811.34,-1864.66,,1.2
GS-1044,,2025-11-27,Bob,Brazil,Furniture,4133.46,1082.6,2.0,
GS-1045,2025-10-29,2025-11-06,Grace,UK,Furniture,N/A,-272.82,,
GS-1046,2025-09-05,2025-09-07,Grace,USA,Office Supplies,4971.89,-2297.95,0.0,0.5
GS-1047,2025-07-15,2025-07-17,Bob,USA,Furniture,4600.22,-1873.72,3.0,
GS-1048,2025-04-05,2025-04-08,Alice,Brazil,Furniture,2630.48,181.07,,
GS-1049,2025-12-24,2025-12-22,Bob,USA,Office Supplies,3997.07,-991.02,1.0,1.2
GS-1050,2025-01-23,2025-01-25,Eve,Germany,Office Supplies,3761,993.32,10.0,1.2
GS-1051,2025-09-14,2025-09-13,Frank,USA,Technology,4021.69,26.61,2.0,1.2
GS-1052,2025-03-29,2025-04-04,Grace,Brazil,Furniture,4174.37,-1823.39,3.0,1.2
GS-1053,2025-01-27,2025-01-31,Diana,USA,Office Supplies,2661.11,173.09,10.0,1.2
GS-1054,2025-12-25,2026-01-03,Diana,Brazil,Furniture,574.92,206.56,1.0,
GS-1055,2025-08-23,2025-09-02,Diana,USA,Furniture,2268,-380.31,10.0,0.2
GS-1056,2025-10-09,2025-10-17,Diana,Germany,Furniture,754.52,-330.36,,0.5
GS-1057,2025-10-10,2025-10-19,Eve  ,Germany,Technology,1303.24,-450.23,10.0,0.2
GS-1058,2025-05-12,2025-05-12,Grace,UK,Technology,N/A,-390.89,5.0,
GS-1059,2025-12-07,2025-12-06,Henry,Germany,Office Supplies,1978.3,-275.83,1.0,0.0
GS-1060,2025-01-02,2025-01-01,Henry,Brazil,Technology,40.45,9.69,,0.1
GS-1061,2025-07-22,2025-07-26,Henry,UK,Office Supplies,1571.73,484.73,1.0,0.1
GS-1062,2025-11-08,2025-11-06,Frank,UK,Technology,2690.87,847.71,10.0,1.2
GS-1063,2025-06-18,2025-06-26,Alice,Brazil,Technology,2731.87,241.45,2.0,0.2
GS-1064,2025-04-11,2025-04-11,Henry,India,Technology,3422.07,-1681.92,10.0,0.0
GS-1005,2025-12-05,2025-12-03,Charlie,India,Furniture,1992.62,392.02,10.0,0.5
GS-1066,2025-11-17,2025-11-27,Frank,India,Office Supplies,2538.88,130.83,3.0,
GS-,2025-05-04,2025-05-03,Henry,Germany,Office Supplies,24.71,-6.79,,0.0
GS-1068,2025-05-04,2025-05-11,Grace,Germany,Office Supplies,3356.92,-848.18,10.0,
GS-1069,2025-04-15,2025-04-14,Alice,India,Technology,1268.17,-517.2,10.0,1.2
GS-1070,2025-06-14,2025-06-23,Eve,Brazil,Technology,4331.32,-1007.84,,
GS-1071,2025-02-08,2025-02-18,Eve,UK,Furniture,449.21,-163.7,5.0,0.5
GS-1072,2025-11-15,2025-11-21,Charlie,UK,Office Supplies,517.76,-47.1,0.0,0.1
GS-1073,2025-09-15,2025-09-15,Eve,USA,Furniture,1912.95,-1.67,0.0,0.0
GS-1005,2025-07-23,2025-07-24,Charlie,India,Furniture,3645.43,-1522.35,0.0,0.5
GS-1075,2025-07-26,2025-07-24,Frank,Brazil,Furniture,263.43,96.3,2.0,1.2
GS-1076,2025-05-11,2025-05-09,Charlie,USA,Technology,3787.29,-59.33,3.0,0.2
GS-1077,2025-11-05,2025-11-13,Diana,Germany,Office Supplies,3220.69,742.19,2.0,0.1
GS-1078,2025-11-13,2025-11-15,Frank,UK,Office Supplies,776.25,72.41,3.0,0.5
GS-1079,2025-10-27,2025-11-03,Henry,Germany,Office Supplies,4439.89,-578.22,2.0,0.2
GS-1080,2025-06-01,2025-06-11,Henry,USA,Office Supplies,3338.68,-794.52,2.0,
GS-1081,2025-06-01,2025-06-11,Bob,Brazil,Technology,761.25,-60.64,2.0,1.2
GS-1082,2025-10-09,2025-10-16,Bob,Brazil,Technology,4921.77,1856.0,,1.2
GS-,2025-04-03,2025-04-05,Frank,India,Office Supplies,504.39,200.79,,0.5
GS-1084,2025-08-28,2025-09-05,Frank,Germany,Office Supplies,4849.45,-2261.32,10.0,
GS-1085,2025-04-08,2025-04-10,Charlie,UK,Furniture,72.68,-5.2,3.0,0.1
GS-1086,2025-01-24,2025-01-22,Diana  ,Germany,Furniture,4336.36,508.71,2.0,1.2
GS-1087,2025-05-27,2025-06-02,Bob,India,Furniture,1881.74,-263.44,10.0,
GS-1088,2025-09-26,2025-09-27,Charlie,UK,Office Supplies,1522.94,278.99,3.0,0.0
GS-1089,2025-04-14,2025-04-15,Eve,Germany,Technology,2924.23,18.5,,0.2
GS-1090,2025-04-26,2025-04-29,Frank,Germany,Technology,1791.73,-483.27,0.0,
GS-1091,2025-11-06,2025-11-15,Eve,Germany,Technology,150.04,14.51,0.0,0.1
GS-1092,2025-05-10,2025-05-17,Bob,UK,Furniture,260.28,67.19,,
GS-1093,2025-01-08,2025-01-14,Bob  ,USA,Furniture,112.64,-14.34,3.0,0.0
GS-1094,2025-05-10,2025-05-13,Charlie,India,Office Supplies,3804.17,-1359.61,,0.5
GS-1095,2025-07-17,2025-07-17,Frank,UK,Office Supplies,4026.34,-1925.04,,
GS-1096,2025-10-08,2025-10-12,Diana,USA,Furniture,4141.1,-405.17,10.0,0.0
GS-1097,2025-09-27,2025-09-25,Henry,USA,Technology,3410.88,39.12,5.0,0.2
GS-1098,2025-10-07,2025-10-17,Charlie,Brazil,Technology,711.71,-239.9,,0.0
GS-1099,,2025-06-12,Diana,India,Office Supplies,756.11,245.51,0.0,
GS-1100,2025-09-27,2025-09-29,Frank,USA,Office Supplies,N/A,349.32,,0.2
GS-,2025-01-18,2025-01-27,Bob,USA,Office Supplies,1089.14,-488.35,3.0,0.1
GS-1102,2025-09-22,2025-09-30,Frank,Germany,Office Supplies,831.45,9.56,3.0,0.5
GS-1103,2025-02-01,2025-02-05,Henry,USA,Furniture,725.39,126.77,1.0,0.0
GS-1104,2025-09-11,2025-09-10,Bob,USA,Office Supplies,3268.3,727.21,10.0,0.5
GS-1005,2025-03-02,2025-03-05,Alice,UK,Furniture,941.28,-403.99,10.0,0.1
GS-1106,2025-08-26,2025-09-02,Henry,India,Office Supplies,452.86,-115.82,3.0,
GS-1107,2025-04-21,2025-04-29,Diana,Brazil,Office Supplies,N/A,166.39,2.0,0.1
GS-1108,2025-06-22,2025-06-27,Diana,Brazil,Technology,3818.5,795.41,10.0,0.0
GS-1109,2025-03-29,2025-04-08,Eve,Germany,Technology,1171.21,-39.44,2.0,0.1
GS-1110,2025-10-15,2025-10-25,Alice,India,Furniture,2680.66,749.78,3.0,0.1
GS-1111,2025-10-20,2025-10-19,Charlie,Brazil,Furniture,2941.68,-1053.06,3.0,0.0
GS-1112,2025-06-18,2025-06-17,Eve,India,Office Supplies,3279.72,1114.25,0.0,0.1
GS-1113,2025-01-16,2025-01-17,Diana,Germany,Technology,4527.51,-1459.91,10.0,0.5
GS-1114,2025-12-17,2025-12-18,Grace,Brazil,Technology,1012.01,389.5,0.0,0.1
GS-1005,2025-01-25,2025-01-31,Eve,Brazil,Office Supplies,827.29,-84.73,5.0,0.0
GS-1116,2025-02-23,2025-02-22,Eve  ,India,Office Supplies,2045.39,-593.35,10.0,0.5
GS-1117,2025-07-03,2025-07-12,Grace,Germany,Furniture,395.84,-127.9,5.0,0.1
GS-1118,2025-08-24,2025-09-03,Charlie,Brazil,Furniture,1592.48,-226.14,5.0,0.0
GS-1119,2025-01-29,2025-02-05,Henry,India,Technology,3114.33,-507.67,3.0,0.1
GS-1120,2025-12-03,2025-12-02,Eve,USA,Office Supplies,4727.69,-185.08,,
GS-1121,2025-12-07,2025-12-15,Frank,UK,Furniture,1928.81,-729.9,3.0,0.5
GS-1122,2025-11-25,2025-12-01,Frank,India,Technology,4576.73,-482.45,5.0,
GS-1123,2025-08-09,2025-08-18,Eve,Brazil,Furniture,3184.43,1215.45,2.0,0.1
GS-1124,2025-07-27,2025-07-25,Henry,UK,Furniture,2954.53,-418.54,3.0,0.5
GS-1125,2025-12-14,2025-12-21,Grace,Brazil,Furniture,4770.15,450.73,,
GS-1126,2025-11-17,2025-11-24,Charlie,UK,Furniture,4377.12,-1033.97,5.0,0.1
GS-1127,2025-04-15,2025-04-21,Henry,USA,Technology,3676.57,-1108.91,3.0,0.2
GS-1128,2025-07-04,2025-07-13,Charlie,Brazil,Office Supplies,3288.29,228.01,10.0,
GS-1129,2025-12-05,2025-12-09,Henry,Brazil,Technology,1890.86,294.67,2.0,0.1
GS-1130,2025-07-23,2025-07-29,Bob,Brazil,Office Supplies,790.75,-64.28,,1.2
GS-1131,2025-03-23,2025-03-31,Charlie,Brazil,Furniture,3806.27,1015.25,3.0,1.2
GS-1005,2025-08-19,2025-08-18,Grace,India,Office Supplies,2289.4,-184.25,1.0,0.0
GS-1133,2025-12-29,2025-12-28,Frank,USA,Technology,3341.46,777.65,0.0,0.1
GS-1134,2025-04-14,2025-04-22,Charlie,UK,Office Supplies,3399.91,-104.34,,0.5
GS-1135,2025-09-25,2025-09-27,Diana,Germany,Technology,4415.93,-1070.11,0.0,0.0
GS-1136,2025-10-26,2025-10-27,Eve,Germany,Technology,290.11,-78.65,10.0,0.5
GS-1137,2025-07-25,2025-07-28,Grace,USA,Office Supplies,1355.32,224.5,10.0,0.5
GS-1005,2025-09-06,2025-09-12,Henry,USA,Technology,1485.96,-12.4,1.0,0.2
GS-1139,2025-03-14,2025-03-16,Eve,UK,Furniture,3679.19,-26.42,10.0,0.2
GS-1140,2025-03-17,2025-03-26,Diana,Brazil,Furniture,2541.94,-700.21,1.0,0.0
GS-1141,2025-09-28,2025-10-02,Eve,India,Technology,281.89,44.17,3.0,0.0
GS-1142,2025-05-26,2025-06-01,Bob,UK,Furniture,2447.91,-742.34,5.0,1.2
GS-1143,2025-11-21,2025-11-24,Charlie,USA,Technology,4950.59,-1442.91,0.0,0.2
GS-1144,2025-04-24,2025-05-04,Charlie,UK,Technology,2419.66,935.24,1.0,
GS-1145,2025-05-08,2025-05-18,Charlie,India,Technology,2377.9,501.29,1.0,1.2
GS-1146,2025-08-18,2025-08-16,Alice,Brazil,Furniture,1247.16,-390.75,,0.0
GS-1147,2025-02-16,2025-02-25,Grace,Germany,Office Supplies,1216.88,-379.97,3.0,0.5
GS-1148,2025-12-10,2025-12-16,Charlie,India,Furniture,4465.59,-488.64,2.0,0.0
GS-1149,2025-03-21,2025-03-23,Henry,USA,Furniture,3535.07,-1197.12,0.0,0.5
GS-1005,2025-07-07,2025-07-07,Grace,UK,Office Supplies,4982,1686.66,,
GS-1151,2025-06-11,2025-06-19,Grace,UK,Office Supplies,3294.28,-1478.62,1.0,0.1
GS-1152,2025-03-11,2025-03-16,Charlie,UK,Technology,N/A,-516.19,,1.2
GS-1153,2025-07-08,2025-07-16,Alice,Brazil,Technology,1047.99,243.23,,
GS-1154,2025-11-10,2025-11-15,Bob,Germany,Furniture,624.38,-81.68,5.0,0.2
GS-,2025-02-27,2025-03-06,Alice,USA,Office Supplies,4452.33,-1184.9,3.0,0.5
GS-1156,2025-09-11,2025-09-16,Alice,Germany,Office Supplies,-15.5,-4.12,5.0,0.1
GS-,2025-06-25,2025-06-30,Alice,USA,Technology,1643.31,-256.93,,
GS-1158,2025-03-15,2025-03-15,Frank,UK,Technology,2111.8,-70.82,3.0,0.1
GS-1159,2025-08-22,2025-08-28,Eve,USA,Office Supplies,1838.83,435.9,5.0,1.2
GS-1160,2025-10-21,2025-10-25,Henry,USA,Technology,3462.76,-278.72,2.0,0.2
GS-1005,2025-01-12,2025-01-13,Eve,Brazil,Technology,2299.02,491.97,10.0,0.0
GS-1162,2025-01-13,2025-01-20,Eve,UK,Furniture,161.81,-26.35,2.0,0.1
GS-1163,2025-03-11,2025-03-19,Grace,Brazil,Furniture,4517.23,618.25,3.0,1.2
GS-1164,2025-09-29,2025-10-06,Grace,Germany,Office Supplies,480.29,-193.14,,0.1
GS-1165,2025-08-18,2025-08-18,Diana,Brazil,Technology,3832.24,-534.09,10.0,
GS-1166,2025-12-28,2025-12-30,Grace,India,Technology,2588.35,376.74,10.0,1.2
GS-1167,2025-10-24,2025-11-03,Eve,India,Technology,1612.89,566.78,0.0,0.0
GS-1168,2025-12-15,2025-12-17,Charlie,India,Technology,945.6,262.82,,
GS-1169,2025-02-28,2025-02-26,Alice,India,Technology,411.85,136.39,10.0,0.1
GS-1170,2025-09-24,2025-09-25,Diana,USA,Technology,3714.57,-515.17,0.0,
GS-1171,,2026-01-04,Frank,USA,Furniture,3190.4,112.16,0.0,0.0
GS-1172,2025-08-14,2025-08-21,Frank,USA,Furniture,2244.94,672.37,10.0,1.2
GS-1173,2025-08-28,2025-09-02,Bob,UK,Technology,207.48,-94.11,,0.5
GS-1174,2025-10-13,2025-10-11,Alice,Germany,Furniture,154.1,-7.27,3.0,
GS-1175,2025-07-28,2025-08-04,Grace,Germany,Technology,1019.08,162.86,10.0,0.5
GS-1176,2025-04-15,2025-04-21,Frank,India,Technology,N/A,-55.35,1.0,0.2
GS-1177,2025-11-13,2025-11-17,Charlie,UK,Technology,192.09,-82.73,0.0,0.0
GS-1178,2025-08-30,2025-09-05,Alice,India,Office Supplies,4802.53,513.27,10.0,0.1
GS-1179,2025-06-24,2025-07-03,Henry,Brazil,Technology,648.75,-8.28,3.0,
GS-1180,2025-10-28,2025-11-07,Henry,Germany,Technology,4034.75,-111.73,0.0,0.1
GS-1181,2025-09-10,2025-09-17,Charlie,USA,Office Supplies,-45.6,-13.81,3.0,1.2
GS-1182,2025-12-14,2025-12-18,Bob,India,Office Supplies,2835.52,724.35,0.0,0.5
GS-1183,2025-12-22,2025-12-24,Grace,Brazil,Furniture,888.89,0.47,,0.0
GS-1184,2025-07-28,2025-07-26,Henry,Brazil,Furniture,1511.18,160.91,2.0,1.2
GS-1005,2025-09-19,2025-09-28,Frank,India,Furniture,194.78,-96.09,,0.1
GS-1186,2025-06-19,2025-06-24,Bob,Germany,Office Supplies,2414.99,595.24,3.0,0.5
GS-1187,2025-01-10,2025-01-10,Henry,USA,Technology,3169.66,-474.91,3.0,0.1
GS-1188,2025-01-18,2025-01-17,Grace,USA,Furniture,1570.03,-648.6,10.0,0.2
GS-1189,2025-06-18,2025-06-22,Frank,USA,Technology,3801.07,-1184.36,0.0,0.2
GS-1190,2025-02-22,2025-02-22,Eve,UK,Office Supplies,4439.72,-1863.26,2.0,
GS-1191,2025-11-15,2025-11-16,Bob,UK,Technology,1139.53,255.8,0.0,
GS-1192,2025-04-23,2025-05-03,Diana,Germany,Technology,3746.55,242.83,1.0,
GS-1005,,2025-12-17,Diana,USA,Technology,4086.36,757.6,5.0,
GS-1194,2025-06-30,2025-07-01,Grace,Germany,Office Supplies,2829.23,275.72,,0.2
GS-1195,2025-05-29,2025-06-08,Frank,Germany,Furniture,3914.6,303.33,1.0,
GS-1196,2025-05-11,2025-05-19,Charlie  ,USA,Technology,3242.19,-313.9,1.0,1.2
GS-1005,2025-02-23,2025-03-03,Grace,Germany,Office Supplies,2798.87,-70.33,2.0,0.0
GS-1198,2025-03-11,2025-03-15,Eve,Indai,Office Supplies,3289.81,421.73,0.0,0.5
GS-1199,2025-03-26,2025-04-02,Eve,Indai,Technology,4160.62,946.11,2.0,0.5
GS-,2025-03-25,2025-03-23,Alice,Germany,Furniture,3912.83,1492.75,2.0,
GS-1201,2025-07-21,2025-07-25,Frank,Brazil,Office Supplies,1107.02,-121.74,3.0,0.0
GS-1202,2025-03-29,2025-03-27,Frank,Germany,Office Supplies,-9.18,1.09,1.0,0.5
GS-1203,2025-08-26,2025-08-29,Eve,Brazil,Technology,3661.18,-673.6,10.0,
GS-,2025-02-27,2025-03-01,Alice,USA,Technology,3675.68,-1605.14,3.0,0.2
GS-1205,2025-06-01,2025-06-04,Alice,USA,Technology,1132.77,-45.52,2.0,0.2
GS-1206,2025-11-15,2025-11-21,Henry,Brazil,Furniture,2309.52,755.96,3.0,1.2
GS-1207,2025-02-08,2025-02-07,Bob,India,Technology,831.83,-322.23,10.0,0.2
GS-1208,2025-12-04,2025-12-13,Charlie,Indai,Technology,3519.08,-611.97,1.0,0.0
GS-1209,2025-09-27,2025-09-30,Charlie,UK,Technology,4504.37,-1560.92,0.0,0.2
GS-1005,2025-11-05,2025-11-07,Grace,Germany,Furniture,3907.72,-165.01,,0.0
GS-1211,2025-08-07,2025-08-06,Bob,Indai,Office Supplies,2859.2,795.89,,0.0
GS-1212,2025-02-27,2025-03-06,Frank,Brazil,Furniture,3915.14,-1688.49,10.0,0.1
GS-1213,2025-03-29,2025-04-02,Alice,USA,Furniture,2380.87,-57.0,5.0,0.2
GS-1214,2025-08-03,2025-08-04,Frank,Indai,Furniture,1843.71,-382.79,,1.2
GS-1215,2025-08-08,2025-08-06,Diana,USA,Furniture,345.18,86.57,1.0,0.0
GS-1216,2025-08-31,2025-09-06,Charlie,Brazil,Technology,2030.9,-398.12,0.0,0.1
GS-1217,2025-02-16,2025-02-22,Charlie,UK,Furniture,1458.92,348.82,2.0,0.1
GS-1218,2025-12-15,2025-12-16,Frank,Brazil,Furniture,3128.97,588.67,0.0,0.2
GS-1219,2025-02-19,2025-02-26,Diana,Germany,Office Supplies,1064.16,14.24,1.0,
GS-,2025-08-13,2025-08-16,Charlie,Germany,Technology,596.34,224.12,2.0,0.0
GS-1221,2025-11-13,2025-11-17,Frank,Germany,Office Supplies,1031.9,135.92,0.0,0.5
GS-1222,2025-06-01,2025-06-02,Bob,Brazil,Technology,253.93,24.27,3.0,0.0
GS-1223,2025-04-15,2025-04-23,Diana,Germany,Technology,1081.8,328.61,5.0,0.5
GS-1224,2025-01-25,2025-01-30,Grace,UK,Technology,-28.38,-1.32,5.0,0.0
GS-1225,2025-08-23,2025-09-02,Henry,UK,Furniture,3703.2,-210.74,3.0,0.0
GS-1226,2025-07-31,2025-08-09,Alice,USA,Technology,4554.51,-1216.22,0.0,0.2
GS-1227,2025-02-27,2025-03-02,Alice,USA,Furniture,3604.99,880.25,10.0,0.5
GS-1228,2025-04-02,2025-04-07,Diana,Brazil,Office Supplies,3464.11,700.33,1.0,0.0
GS-1229,2025-07-13,2025-07-22,Bob,Germany,Technology,937.73,-105.87,3.0,1.2
GS-1230,2025-02-06,2025-02-08,Eve,India,Office Supplies,2022.01,-928.08,5.0,1.2
GS-1231,2025-04-27,2025-04-29,Charlie,India,Office Supplies,4119.77,-638.49,1.0,1.2
GS-1232,2025-03-02,2025-03-09,Alice,India,Technology,2646.07,125.09,5.0,0.2
GS-1233,2025-11-20,2025-11-29,Bob,Germany,Technology,4033.62,-1027.64,0.0,0.5
GS-1234,2025-01-01,2025-01-08,Henry,Brazil,Furniture,4205.92,-1719.98,5.0,0.5
GS-1235,2025-12-25,2025-12-29,Alice,India,Technology,1772.31,705.34,2.0,0.2
GS-1236,2025-10-19,2025-10-24,Eve,USA,Technology,348.88,-98.78,,1.2
GS-1237,2025-04-02,2025-04-08,Eve,India,Technology,369.59,35.65,5.0,
GS-1238,2025-04-15,2025-04-14,Grace,Brazil,Furniture,4686.2,-885.38,,
GS-1239,2025-06-10,2025-06-10,Henry  ,UK,Office Supplies,4108.72,-56.48,3.0,0.0
GS-1240,2025-08-14,2025-08-14,Diana,Germany,Technology,989.66,-231.85,,0.0
GS-1241,2025-01-24,2025-02-02,Henry,Indai,Technology,1979.16,-405.69,,0.2
GS-1242,2025-02-16,2025-02-18,Henry,Brazil,Technology,4441.27,-1332.68,0.0,0.0
GS-1243,2025-02-08,2025-02-13,Alice,Germany,Furniture,334.35,-30.15,1.0,0.0
GS-1244,2025-01-06,2025-01-10,Bob,UK,Office Supplies,1275.62,51.16,2.0,0.2
GS-1245,2025-09-29,2025-09-29,Eve,Brazil,Office Supplies,4188.51,-1278.89,1.0,0.1
GS-1246,2025-09-07,2025-09-09,Henry,Germany,Technology,3430.82,-908.02,0.0,1.2
GS-1247,2025-11-15,2025-11-24,Eve,USA,Furniture,3241.69,-326.64,1.0,0.0
GS-1248,2025-07-22,2025-07-25,Bob,Brazil,Furniture,1324.99,-387.83,1.0,1.2
GS-1249,,2025-12-17,Grace,India,Office Supplies,4483.78,616.67,1.0,0.0
GS-1005,2025-10-09,2025-10-09,Charlie,UK,Furniture,4495.93,812.05,3.0,
GS-1251,2025-06-27,2025-07-01,Grace,UK,Office Supplies,1874.6,-571.64,,0.5
GS-1252,2025-09-13,2025-09-12,Frank,Indai,Office Supplies,2671.99,-418.23,3.0,1.2
GS-1253,2025-01-12,2025-01-16,Charlie,India,Office Supplies,1314.47,281.33,10.0,0.5
GS-1254,2025-08-01,2025-08-07,Alice,Brazil,Office Supplies,4656.91,-566.55,10.0,
GS-1255,2025-02-14,2025-02-12,Grace,Brazil,Office Supplies,1083.73,-127.91,,1.2
GS-1256,2025-12-11,2025-12-11,Grace,Germany,Furniture,3248.09,-688.95,5.0,0.1
GS-1257,2025-09-29,2025-10-06,Henry,Brazil,Technology,643.36,174.8,1.0,0.5
GS-1258,2025-04-26,2025-05-05,Grace,Germany,Office Supplies,155.17,-63.88,,0.1
GS-1259,2025-01-13,2025-01-13,Grace,India,Furniture,2930.34,-942.45,1.0,0.5
GS-1260,2025-07-27,2025-08-02,Bob,Germany,Office Supplies,2386.22,-975.08,,0.2
GS-1261,2025-08-19,2025-08-22,Alice,Brazil,Furniture,4412.07,-1925.32,3.0,0.5
GS-1262,2025-11-02,2025-11-05,Eve  ,USA,Technology,441.99,66.77,10.0,0.0
GS-1263,2025-06-01,2025-06-10,Eve,Germany,Furniture,493.32,-66.15,3.0,0.0
GS-1264,2025-01-05,2025-01-05,Alice  ,UK,Furniture,319.52,103.11,0.0,0.0
GS-1265,2025-11-01,2025-11-11,Charlie,Germany,Technology,1295.95,-253.63,3.0,0.2
GS-1266,2025-01-29,2025-02-04,Diana,India,Technology,859.42,46.65,2.0,1.2
GS-1267,2025-02-09,2025-02-19,Frank,USA,Office Supplies,948.95,-11.6,10.0,0.0
GS-1268,2025-03-27,2025-03-26,Eve,India,Office Supplies,4864.09,57.52,,0.5
GS-1269,2025-11-16,2025-11-15,Bob,UK,Office Supplies,155.08,45.67,,0.1
GS-1270,,2025-03-20,Charlie,Brazil,Technology,3296.61,-495.33,2.0,0.2
GS-1271,2025-11-07,2025-11-09,Eve,Germany,Office Supplies,445.25,33.63,5.0,0.5
GS-1272,2025-09-07,2025-09-15,Henry,Germany,Technology,4613.56,1563.71,5.0,0.5
GS-1273,2025-04-07,2025-04-11,Alice,USA,Office Supplies,2166.73,433.81,2.0,0.5
GS-1274,2025-03-13,2025-03-11,Henry,UK,Technology,2776.39,-278.73,1.0,
GS-1275,2025-07-02,2025-07-01,Henry,USA,Office Supplies,1899.28,-910.15,5.0,0.5
GS-1276,2025-01-06,2025-01-06,Charlie  ,UK,Furniture,2377.71,314.04,0.0,1.2
GS-1277,2025-11-19,2025-11-25,Charlie,USA,Office Supplies,208.3,-80.78,1.0,0.2
GS-1278,2025-08-12,2025-08-21,Bob,UK,Office Supplies,4906.72,-1176.28,5.0,0.2
GS-1279,2025-12-27,2026-01-01,Alice  ,Germany,Office Supplies,3899.85,-1729.36,3.0,0.2
GS-1280,2025-06-01,2025-06-05,Alice,USA,Office Supplies,991.45,332.63,5.0,
GS-1281,2025-03-15,2025-03-24,Frank,USA,Furniture,1035.42,-65.09,5.0,0.0
